Date-Time,HX_Example_Data_V11_v1?Hot_Liquid_Flow_Data,HX_Example_Data_V11_v1?Cold_Liquid_Flow_Data,HX_Example_Data_V11_v1?T_Hot_in_Data,HX_Example_Data_V11_v1?T_Cold_Out_Data,HX_Example_Data_V11_v1?T_Hot_out_Data,HX_Example_Data_V11_v1?T_Cold_In_Data
2015-12-27T00:00:00,210007.2125,735236.9402,493.184375,306.84125,264.5254167,195.5383333
2015-12-28T00:00:00,209984.9431,735195.0835,492.9733333,305.8616667,263.385625,191.4352083
2015-12-29T00:00:00,209982.65,734791.6569,491.2758333,305.8889583,264.0939583,191.9485417
2015-12-30T00:00:00,210000.7096,734530.2273,490.765,301.245625,258.5629167,187.1839583
2015-12-31T00:00:00,210020.0181,734604.3842,490.8891667,299.4527083,256.4522917,184.98375
2016-01-01T00:00:00,210010.3869,734578.8035,491.5864583,301.74625,259.2410417,188.523125
2016-01-02T00:00:00,209997.5713,734511.7079,492.59625,304.340625,262.349375,192.3860417
2016-01-03T00:00:00,209995.5998,734280.2402,494.038125,306.2175,264.3829167,194.59
2016-01-04T00:00:00,209992.5827,733331.9923,494.98875,308.6583333,267.1675,198.0120833
2016-01-05T00:00:00,209994.704,733576.504,494.3875,309.5164583,268.5225,199.7541667
2016-01-06T00:00:00,209988.9065,734962.4827,493.1489583,308.1964583,267.3585417,197.4064583
2016-01-07T00:00:00,209983.7238,735251.8346,493.0052083,311.84,272.2877083,202.059375
2016-01-08T00:00:00,209982.3579,735230.9444,493.1885417,318.700625,281.2745833,211.0110417
2016-01-09T00:00:00,209974.2327,735226.5977,493.33875,322.6629167,286.114375,215.0747917
2016-01-10T00:00:00,209985.5383,735220.0133,493.8795833,323.2545833,286.3577083,214.5785417
2016-01-11T00:00:00,210004.2646,735210.3246,494.35,323.4314583,286.2739583,214.0410417
2016-01-12T00:00:00,210004.1388,735194.9617,495.180625,324.5135417,287.3702083,215.373125
2016-01-13T00:00:00,210017.9908,735212.4521,495.6789583,324.6091667,287.515625,215.6860417
2016-01-14T00:00:00,210011.7652,735242.2783,494.2439583,317.9008333,279.7885417,205.1022917
2016-01-15T00:00:00,209994.689,735233.6356,492.2708333,311.546875,272.510625,195.0516667
2016-01-16T00:00:00,199103.3673,653599.9488,478.9666667,313.7633333,274.3945833,198.755625
2016-01-17T00:00:00,167445.5215,342729.3296,352.976875,265.7316667,241.3279167,182.3577083
2016-01-18T00:00:00,145968.9931,94614.19792,230.51,212.633125,206.8747917,164.7352083
2016-01-19T00:00:00,151179.4163,75725.61771,229.3997917,215.4297917,212.0897917,167.5025
2016-01-20T00:00:00,157906.4492,74669.86063,228.9397917,214.7791667,210.3675,162.8222917
2016-01-21T00:00:00,169717.6706,224715.6823,322.9754167,256.92,233.3870833,170.9122917
2016-01-22T00:00:00,197374.6577,452029.3648,456.8220833,325.2,279.6877083,195.5614583
2016-01-23T00:00:00,217891.1454,599127.2027,491.0239583,339.066875,292.9154167,208.2314583
2016-01-24T00:00:00,217590.1471,698957.1708,491.7839583,327.9285417,287.141875,209.9875
2016-01-25T00:00:00,211291.8858,734445.5715,492.8322917,323.60375,285.6514583,209.87375
2016-01-26T00:00:00,209100.7479,735287.4617,491.2341667,315.6522917,276.6460417,197.4922917
2016-01-27T00:00:00,209820.9058,735300.214,489.8814583,310.1135417,269.8641667,188.2602083
2016-01-28T00:00:00,210008.1494,735265.8688,491.05625,305.1820833,262.8714583,182.8379167
2016-01-29T00:00:00,210021.1225,735287.6829,491.40875,302.3314583,258.9839583,179.8772917
2016-01-30T00:00:00,210012.0731,735287.586,491.934375,309.340625,268.0727083,187.2470833
2016-01-31T00:00:00,210006.1929,735244.3285,491.71125,310.8135417,270.138125,187.6708333
2016-02-01T00:00:00,210015.8558,735228.1221,490.3079167,306.1172917,264.9535417,180.7066667
2016-02-02T00:00:00,209998.2425,735196.0917,487.1414583,302.304375,261.5297917,177.6122917
2016-02-03T00:00:00,210012.8794,735241.4763,483.9345833,304.5441667,265.491875,185.5339583
2016-02-04T00:00:00,210021.4723,735155.7994,482.8304167,305.4010417,267.0797917,188.495625
2016-02-05T00:00:00,210010.0867,735030.3085,482.8383333,301.7383333,262.6233333,181.6291667
2016-02-06T00:00:00,210019.9008,727254.8313,481.0504167,298.6570833,258.7589583,175.6733333
2016-02-07T00:00:00,210014.3648,724259.3708,479.0439583,297.72125,257.9770833,174.65625
2016-02-08T00:00:00,209996.7694,732584.2608,477.9879167,295.5520833,256.52625,173.7254167
2016-02-09T00:00:00,209987.2842,735253.6165,476.8370833,293.6054167,254.8795833,172.6514583
2016-02-10T00:00:00,209983.1044,735227.435,479.186875,292.038125,252.0916667,170.1964583
2016-02-11T00:00:00,209973.5331,735192.3627,483.4695833,291.6570833,250.214375,169.0622917
2016-02-12T00:00:00,209988.7119,735256.8138,485.4952083,290.9539583,248.7870833,167.8285417
2016-02-13T00:00:00,210008.3904,735247.004,485.49875,285.3175,241.72,161.005625
2016-02-14T00:00:00,210003.5127,735234.0346,483.3985417,283.6960417,239.9608333,162.4877083
2016-02-15T00:00:00,210008.9077,735281.7633,481.399375,287.064375,244.6985417,170.2391667
2016-02-16T00:00:00,210012.3838,735263.2927,484.77125,294.6175,253.8933333,180.4841667
2016-02-17T00:00:00,209983.1056,735230.8408,490.0783333,305.8039583,267.1575,192.545625
2016-02-18T00:00:00,209974.6435,735207.2594,491.8102083,301.414375,261.2591667,184.57
2016-02-19T00:00:00,209988.171,735219.2938,489.8470833,291.1129167,248.8175,172.303125
2016-02-20T00:00:00,209995.0065,735272.5465,488.1333333,292.8991667,251.5114583,176.2672917
2016-02-21T00:00:00,209993.5381,735299.7275,487.9333333,301.0533333,262.2266667,186.4183333
2016-02-22T00:00:00,209978.0808,735224.9244,488.6279167,310.2404167,274.2320833,197.835625
2016-02-23T00:00:00,204003.1221,698288.0398,483.72625,310.24875,274.1916667,198.8891667
2016-02-24T00:00:00,146038.1833,664247.4394,377.143125,275.8610417,240.543125,201.183125
2016-02-25T00:00:00,76125.22729,362099.5719,178.315,180.2520833,151.1122917,171.2127083
2016-02-26T00:00:00,55759.83083,24885.81542,75.96791667,101.993125,86.46791667,121.3904167
2016-02-27T00:00:00,52096.12729,21482.35979,68.54895833,82.999375,81.82375,101.0554167
2016-02-28T00:00:00,52901.45313,18889.5325,64.55416667,71.65416667,78.1975,82.13208333
2016-02-29T00:00:00,51968.02896,18207.24875,66.21458333,65.29145833,75.16270833,69.01020833
2016-03-01T00:00:00,64793.59875,108625.5981,152.9839583,128.3933333,116.9177083,109.1510417
2016-03-02T00:00:00,119973.2973,393723.4788,357.0970833,250.8147917,215.8770833,175.7114583
2016-03-03T00:00:00,176120.5427,661152.6013,486.9991667,305.6372917,271.6170833,195.8966667
2016-03-04T00:00:00,190625.4613,732907.2569,488.0397917,304.6358333,271.82,198.2025
2016-03-05T00:00:00,188166.3508,735200.4846,486.2079167,304.4445833,273.0372917,200.3533333
2016-03-06T00:00:00,182012.3219,730401.5563,493.5445833,304.5814583,273.1708333,198.5097917
2016-03-07T00:00:00,182093.5246,727329.3019,501.2602083,306.000625,273.2522917,195.21375
2016-03-08T00:00:00,177295.6598,701562.3208,504.290625,298.928125,263.088125,184.4039583
2016-03-09T00:00:00,176774.9073,701789.1077,504.3975,284.9083333,245.6675,168.34625
2016-03-10T00:00:00,182006.1702,735200.6142,503.8539583,284.5497917,246.2225,169.9491667
2016-03-11T00:00:00,182022.0277,735216.8808,500.9904167,296.0770833,261.49375,186.7389583
2016-03-12T00:00:00,182008.7656,733617.9017,498.9816667,302.1235417,269.7329167,196.0822917
2016-03-13T00:00:00,181996.4444,733289.845,496.2597917,302.176875,270.6752083,197.3960417
2016-03-14T00:00:00,181997.84,721459.825,491.065,298.37,266.355,193.675
2016-03-15T00:00:00,181996.3502,695880.4248,487.8389583,293.1829167,258.6702083,188.4904167
2016-03-16T00:00:00,181987.4994,709832.1831,490.1991667,297.5914583,264.6733333,196.4264583
2016-03-17T00:00:00,181989.0754,733551.6352,492.7933333,303.849375,273.963125,205.60625
2016-03-18T00:00:00,181995.28,734708.5813,491.2502083,296.9352083,266.0995833,196.433125
2016-03-19T00:00:00,181997.555,735246.3733,489.5308333,289.7647917,257.61375,187.0041667
2016-03-20T00:00:00,181997.9702,735233.6665,490.03875,290.878125,258.9370833,187.6495833
2016-03-21T00:00:00,181998.9417,735192.9869,491.1635417,287.2883333,254.4547917,182.2535417
2016-03-22T00:00:00,181999.2454,735205.7508,489.4441667,279.884375,245.6739583,173.4952083
2016-03-23T00:00:00,182006.496,735234.6552,487.31375,278.324375,244.35875,172.2408333
2016-03-24T00:00:00,182027.9225,735229.2844,487.6127083,276.0425,241.663125,169.0245833
2016-03-25T00:00:00,182020.781,733415.7748,489.1658333,273.4902083,238.0910417,164.9483333
2016-03-26T00:00:00,182009.6867,733577.5875,489.7825,278.5066667,244.19875,172.3370833
2016-03-27T00:00:00,182020.3633,735214.3073,491.895625,291.6958333,260.1639583,189.185625
2016-03-28T00:00:00,182014.5315,735208.0452,495.5433333,302.9997917,273.221875,201.8270833
2016-03-29T00:00:00,182002.4288,735202.6144,498.5147917,308.2345833,279.0835417,208.2352083
2016-03-30T00:00:00,181997.1496,735171.635,499.495,309.5297917,280.9289583,210.933125
2016-03-31T00:00:00,181982.8825,735161.4827,499.8210417,309.4127083,280.98625,211.0297917
2016-04-01T00:00:00,181979.6804,735206.8663,501.3739583,310.7427083,282.230625,211.6772917
2016-04-02T00:00:00,181984.7792,735231.5971,503.6597917,313.301875,284.8252083,215.1422917
2016-04-03T00:00:00,181987.539,731116.6802,505.7229167,315.195,286.5710417,217.8877083
2016-04-04T00:00:00,181991.8698,714510.1035,505.1510417,313.4714583,283.3029167,212.845
2016-04-05T00:00:00,181993.6406,717959.2313,505.7910417,311.545625,280.9425,209.3652083
2016-04-06T00:00:00,181985.8071,729658.5515,508.21625,313.7102083,284.1266667,213.32125
2016-04-07T00:00:00,181990.6198,715899.1063,506.0604167,314.3739583,284.501875,213.688125
2016-04-08T00:00:00,181999.2229,708269.5404,502.185,304.8710417,273.2983333,200.413125
2016-04-09T00:00:00,182002.0006,711050.884,497.7125,289.2064583,255.3802083,182.03125
2016-04-10T00:00:00,182020.1717,711099.4115,495.0447917,278.8947917,243.150625,170.923125
2016-04-11T00:00:00,182020.8342,711132.3519,495.6927083,276.563125,240.1529167,168.081875
2016-04-12T00:00:00,182001.6702,689448.6938,493.8752083,278.0260417,240.8666667,167.9752083
2016-04-13T00:00:00,182009.7375,691149.8713,493.9202083,280.465625,244.3802083,171.9991667
2016-04-14T00:00:00,182007.3608,711091.4746,497.8270833,288.083125,254.6141667,182.87
2016-04-15T00:00:00,181981.5708,711100.926,499.9654167,288.73875,254.7445833,182.064375
2016-04-16T00:00:00,181989.7615,710948.9025,499.949375,277.4997917,240.7025,166.8860417
2016-04-17T00:00:00,182004.5335,710954.851,500.4710417,272.676875,234.7072917,160.0891667
2016-04-18T00:00:00,182002.8465,711057.4294,502.445,276.4785417,239.06625,164.4647917
2016-04-19T00:00:00,181999.3819,711126.4892,502.67875,281.0066667,244.81375,171.1166667
2016-04-20T00:00:00,182002.26,711140.4163,500.73,285.92625,251.633125,178.9535417
2016-04-21T00:00:00,182016.0848,715847.7681,500.825625,290.0175,257.1614583,184.4558333
2016-04-22T00:00:00,182014.8183,727962.115,502.26,288.313125,255.8566667,182.9014583
2016-04-23T00:00:00,182004.3056,735163.7188,502.6679167,283.3858333,250.2760417,177.1545833
2016-04-24T00:00:00,182004.3506,735222.6602,502.104375,276.9283333,242.4983333,169.2335417
2016-04-25T00:00:00,181994.6465,735182.1948,501.16125,270.4122917,234.781875,161.4697917
2016-04-26T00:00:00,181992.2883,735189.1769,500.1883333,264.675,227.996875,153.9910417
2016-04-27T00:00:00,182005.5735,735222.0727,499.8670833,262.4554167,225.36,151.0933333
2016-04-28T00:00:00,182016.6381,735221.0608,499.62375,265.73875,229.3997917,156.023125
2016-04-29T00:00:00,182004.7492,735218.0323,499.1354167,272.1558333,237.5095833,164.9247917
2016-04-30T00:00:00,181996.9338,735242.881,499.28,277.1210417,243.7154167,171.2352083
2016-05-01T00:00:00,182000.2958,735243.484,499.681875,279.6227083,246.8285417,174.0670833
2016-05-02T00:00:00,181983.9271,735211.8525,500.84,280.4447917,247.7075,174.2402083
2016-05-03T00:00:00,181996.4529,733510.8546,501.400625,276.3966667,242.5277083,168.495625
2016-05-04T00:00:00,181996.1165,729571.4194,500.898125,278.6364583,245.5020833,171.83875
2016-05-05T00:00:00,181985.7877,731460.6292,500.5108333,286.0685417,255.349375,181.8141667
2016-05-06T00:00:00,181996.0673,735225.1304,499.8364583,283.5689583,252.7629167,179.2741667
2016-05-07T00:00:00,182009.554,735202.0435,498.925625,279.6389583,248.07125,175.2110417
2016-05-08T00:00:00,182001.4171,735198.2242,498.2247917,281.2464583,250.2527083,177.54
2016-05-09T00:00:00,181975.424,735199.611,498.52125,278.43,246.6902083,173.2689583
2016-05-10T00:00:00,181984.9427,735201.8596,499.2391667,271.5885417,238.0477083,164.179375
2016-05-11T00:00:00,182020.3304,735209.8254,499.184375,267.4091667,232.8622917,158.9489583
2016-05-12T00:00:00,182024.3138,735224.7875,499.815,263.3754167,227.795,153.039375
2016-05-13T00:00:00,182010.731,726516.7517,499.198125,265.6045833,230.4027083,155.8958333
2016-05-14T00:00:00,181991.489,715121.5869,497.3535417,274.8560417,241.7397917,168.5889583
2016-05-15T00:00:00,181994.245,720402.354,494.938125,273.7604167,241.4160417,169.1747917
2016-05-16T00:00:00,182008.391,731856.0931,490.2377083,266.7985417,234.9052083,164.2358333
2016-05-17T00:00:00,182009.686,735281.2254,485.2639583,264.1910417,233.4683333,163.061875
2016-05-18T00:00:00,182200.0669,735242.4454,483.1752083,267.0454167,237.8927083,164.8095833
2016-05-19T00:00:00,182187.2379,702466.791,482.7997917,275.4733333,246.0120833,169.3039583
2016-05-20T00:00:00,182014.1208,691405.4827,479.6635417,272.1864583,241.8277083,164.823125
